palabra,media_agrado,media_activacion,media_imaginabilidad
llorar,-0.833,0.833,0.833
levantar,-0.2,0.6,0.4
cara,0.4,-0.2,0.2
rostro,0.2,0,0.2
señor,-0.2,0.2,0.4
música,1,0.6,0.2
raza,-0.2,0.4,1
idea,0.8,1,0.4
viento,0.6,0.6,0.6
iglesia,-0.6,0,1
través,0,0,-1
problema,-0.8,0.4,0.4
álbum,0.2,0.2,0.6
desear,0.6,0.8,0.2
boca,0.4,0.4,1
mente,0.6,0.4,0
imagen,0.4,0,0.6
miedo,-1,0.8,0.6
época,0,0,0
acabar,0.2,0.6,0.2
piel,0.6,0,1
carrera,0.2,0.8,1
construir,0.8,1,1
obtener,0.4,1,-0.2
brazo,0.2,-0.2,1
fuerte,0.6,0.8,0.2
demografía,0,-0.167,-0.5
club,0.667,0.5,0.667
publicar,0.167,1,0.333
resto,0.167,0,-0.167
observar,0.333,0.667,0.667
situar,0,0,0
temporada,0.333,0.167,-0.333
lanzar,0.333,1,0.833
cerrar,-0.333,1,1
servicio,0.6,0.4,-0.4
beso,1,1,1
presidente,-0.2,0.8,1
sentido,0.4,0.4,-0.4
sonrisa,1,1,1
necesitar,0.4,1,0
razón,0.6,0.6,-0.2
miembro,0.4,0.6,0.8
movimiento,0.6,0.6,0.8
regresar,0.4,1,0.8
relación,1,1,0.4
frente,0,0,0.2
escuela,0.8,1,1
papel,0.4,0.4,0.8
línea,0.2,0,1
destacar,0.6,0.8,0.2
ejemplo,0.2,0.6,0
descubrir,1,1,0.4
servir,0,0.8,0.4
arte,1,0.8,0.6
sangre,0,0,1
estrella,1,0.6,1
edad,0,0,0
derecho,0.2,0.6,0
labio,0.4,0.4,1
dios,0,0,-0.4
pertenecer,0.4,0.4,-0.4
continuar,0.6,0.8,-0.2
matar,-1,0.4,0.6
participar,0.8,1,0.4
posible,0.8,0.2,0.4
pueblo,0.6,-0.2,0.6
medio,0,0,0.6
despertar,0.8,0.8,1
espacio,0.4,-0.6,0
distrito,0,0,0
minuto,-0.2,0.2,0
cantar,0.8,1,0.8
igual,0.2,0,0.6
departamento,0.2,-0.2,0.8
