palabra,media_agrado,media_activacion,media_imaginabilidad
religioso,-0.2,0,0.4
gota,0.6,-0.4,1
dudar,-0.4,-0.4,-0.2
caja,0,-0.2,1
definir,0.6,0.6,0
atravesar,0.2,0.8,0.4
expresar,0.8,0.8,0.6
medio,-0.2,0,0.4
ave,0.8,0.8,1
soldado,-0.6,0.6,1
templo,0.4,0,0.6
calidad,0.6,0.4,0
envolver,0,0.2,0.6
sexo,0.8,1,1
clima,0.4,0,1
idioma,0.6,0.6,0.2
torneo,0.4,1,0.8
institución,0.2,0.4,0.2
gol,0.8,1,1
tradición,0.4,0.4,0.6
emitir,0.4,1,-0.2
independiente,0.8,0.6,0.2
puro,1,0.2,0.6
sabor,0.6,0.2,0.4
lento,0.2,0.6,0.6
afirmar,0.6,1,0
asunto,0.4,0.4,-0.6
maestro,0.6,0.8,1
asociación,-0.2,0,-0.6
vencer,0.8,1,1
revolución,0.8,0.8,0.2
consistir,0.333,0.333,-1
algo,0.2,0.2,-0.6
final,0.286,0.429,0.429
descansar,1,-0.5,0.625
funcionar,0.625,0.875,0.5
gusto,0.571,0.143,0.429
concepto,0.375,0,-0.625
temor,-0.75,0.25,0.875
conciencia,0.375,0.375,-0.125
introducir,0.25,0.875,0.875
hombro,0.3,0,1
rojo,0.2,0.1,1
fallecer,-0.8,-0.3,0.8
mamá,0.9,0.3,1
oído,0.2,0.3,0.9
geográfico,0.182,-0.091,0.273
erar,-0.286,0.286,-0.286
asegurar,0.454,0.818,-0.182
contemplar,0.636,-0.091,0.818
esquina,0.083,0,1
cuanto,0.111,0,-0.333
gato,0.727,0.182,0.909
encargar,0.1,0.8,0.4
estadio,0.333,0.111,1
curso,0.111,-0.111,0.778
recién,0.25,0.375,0.625
animar,0.714,0.857,0.571
foto,0.571,-0.429,0.857
terreno,0.286,-0.429,1
locura,-0.143,0.857,0.429
corte,-0.333,0,0.5
salud,0.6,-0.4,0.6
auto,0,0.4,1
temperatura,0,0.4,0.6
intención,0,0,-0.333
dividir,-0.167,0.5,0.333
mentira,-0.167,0.333,0.667
desnudo,0.333,-0.167,1
depender,-0.4,0,0.4
cristal,0.4,-0.6,0.8
marcha,-0.167,0.333,0.5
tarea,0,0.333,1
superar,1,0.857,0.286
crítico,0.143,0.571,0.429
frontera,0,-0.714,0.429
evento,0,0.714,0
apagar,-0.143,0.429,0.571
teléfono,0.125,0.125,0.75
haz,0.375,0.25,0
profesional,0.375,0.25,0.25
clásico,0.625,-0.375,0.125
tono,0.125,-0.125,-0.375
primero,0.75,0.5,0.5
controlar,-0.25,1,0.25
derecha,-0.25,-0.25,0.5
cocina,0.625,0.125,0.875
disputar,-0.222,0.778,0
raíz,0.222,-0.111,0.556
seco,-0.222,-0.333,0.333
mediar,0.667,0.778,0
designar,0,0.375,0
gesto,0.5,0.333,0.333
detalle,0.6,-0.2,0.4
olvido,-1,-0.2,0.6
confundir,-0.5,0,0.833
diario,0.286,0.143,0.286
punta,0,0.286,0.571
ambiente,0.714,-0.286,0.429
comida,1,0,1
administración,0,0.167,0.5
recurso,0.333,0.167,0.333
contacto,0.667,0.667,0.5
literatura,1,0.167,1
guitarra,1,1,1
mensaje,0.333,0.167,0.667
completar,0.429,0.571,0.571
acceso,0.143,-0.143,0
gris,-0.143,-0.714,0.857
iluminar,0.714,0.571,0.714
soportar,-0.75,-0.25,0.375
igual,0.286,0.143,0.286
método,0.286,0.286,0
herir,-0.857,1,0.714
aragón,0,-0.4,-0.2
claro,1,-0.167,0.667
finalizar,0.8,1,0.4
rincón,0.2,0,1
concierto,0.833,0.5,1
defender,0.5,0.667,0.5
odiar,-1,0.667,0.167
hasta,-0.167,-0.167,-0.167
masa,0.167,-0.167,0.333
fundación,0.5,0.5,-0.167
límite,0.143,0.571,0.571
privar,-0.833,0.167,-0.167
federal,0.4,0,-0.4
rayo,0.2,1,1
congreso,0,0.4,0.4
pretender,0,0.6,-0.2
saltar,0.8,0.8,1
coleóptero,-0.4,0.4,-0.2
instalar,0.2,0.8,0.2
hueso,-0.4,-0.8,1
pan,1,-0.2,1
entero,0.2,-0.2,0.2
valer,0.6,0.2,-0.6
generalmente,0,0.2,-0.4
inmediato,0,0.8,0.2
rumbo,0.429,0.143,0.571
inmenso,0.6,-0.4,0.8
impedir,-0.8,1,0.6
sorpresa,1,0.6,0.4
extrañar,-0.6,0.4,1
compuesto,0,0,0
estudiante,0.8,0.8,1
pleno,0.714,0.286,-0.286
diseñar,0.4,1,0.2
san,0.6,0.2,0.2
paisaje,0.857,-0.286,0.857
armar,0.571,0.857,0.714
generación,0.143,0,0.143
reflejar,0.286,0.143,0.857
acordar,0.8,0.2,1
culpa,-1,0,0.4
medir,0,0.833,0.667
emoción,0.833,0.5,0.333
morfología,0,-0.333,-0.833
cuestión,-0.2,-0.2,-0.4
emperador,0,0.2,0.8
arena,0.8,0,1
ritmo,0.8,0.4,0.4
misión,0.2,0.2,0.6
durar,0.2,0.2,0.8
conflicto,-0.833,0.333,0.833
descripción,0,0.2,0.2
rico,1,0.4,1
brillar,1,0.6,1
aeropuerto,0.2,0,1
aprovechar,0.4,0.8,0.8
the,0,0,-0.2
viejo,-0.2,-0.2,1
constante,0.2,0,0.8
biografía,0.333,0,0.5
silla,0.167,-0.5,0.833
dicha,0.833,0.167,0.667
justo,0.667,-0.167,0.5
coordenada,0,0,0.833
negocio,0.167,0.167,0.5
visión,0,0.667,0.5
ultimar,-0.333,0.5,0.167
mejor,0.667,-0.167,0.167
local,0.167,-0.167,0
participación,0.667,1,0.5
justicia,0.833,0.5,0.667
gobernar,0.4,0.8,0.8
pintar,0.8,1,1
diente,0,0,1
interesar,0.6,1,0.6
aparición,0,0.2,1
localizar,0.4,1,0.4
técnico,0.4,0.2,0.8
artístico,0.6,0.4,0.6
convencer,0,0.8,0.6
particular,0,-0.2,-0.2
asustar,-0.8,1,1
hábitat,0.2,-0.2,0.4
enemigo,-0.8,0.6,0.8
mezclar,0.2,0.8,1
requerir,0,0.4,-0.2
literario,0.8,-0.4,0.4
primavera,0.8,0.2,1
escalera,0.2,0.2,1
médico,0,0.2,1
colección,0.2,-0.2,0.2
instrumento,0.4,0.4,1
intenso,0.4,0.2,-0.2
quizá,0.2,-0.4,-0.4
carga,-0.2,-0.2,-0.2
vehículo,0.2,0.4,0.6
invadir,-0.8,1,0.6
ocultar,-0.2,0,0.6
dejo,0,-0.8,-0.2
referencia,0.2,-0.2,-0.8
secretario,0,0.4,0.8
humanidad,0.8,0.2,0.6
comentar,0.4,0.8,0.6
actuación,0.4,1,0.8
guardia,0.2,0.4,0.6
dibujar,1,1,1
destinar,0.2,0.6,-0.2
escenario,0.4,0,0.6
combate,-0.6,1,0.4
visita,0.4,0.6,0.4
hambre,-1,0.6,0.6
alimento,0.8,0.4,0.8
femenino,1,0.8,0.6
quemar,0.2,0.8,0.8
doble,0.2,0,0.2
ingresar,0.4,0.8,0.4
asesinar,-0.4,1,0.8
academia,0,-0.4,0.6
regalo,0.8,0,0.6
probablemente,0.2,0.2,-0.2
conformar,0.2,0.4,-0.4
muro,-0.2,-0.2,1
tender,0,0.6,0.4
coche,0.4,0.4,0.8
aéreo,0.4,0.6,0.8
eléctrico,0,0.833,0.667
castilla,0,-0.2,-0.2
plaza,0.5,0.667,1
húmedo,-0.167,-0.167,0.833
cuadro,0.2,-0.8,1
rosa,0.4,-0.4,1
cariño,0.8,1,0.8
aplicar,0.2,0.8,-0.4
mejorar,0.8,1,0
breve,0.2,0.2,-0.2
atrapar,-0.4,0.8,0.2
escudo,-0.2,0.2,1
campeón,0.6,1,0.6
otorgar,0.6,1,0.2
lenguaje,0.4,0.4,0.2
monte,0.2,-0.2,1
extremo,0,0.4,0.2
ejercer,-0.2,1,0
flotar,0.6,0.2,0.8
diario,0,0.4,1
probar,0.8,1,0.4
fase,0,-0.6,-0.4
industria,-0.2,0.6,0.8
afectar,-0.4,1,0
deslizar,0.2,1,0.8
marido,0.2,0,0.8
contrato,0,0.2,0.6
arqueológico,0,-0.4,1
liberar,0.8,1,0.6
caballero,0.6,0.6,0.8
alimentar,0.8,1,1
variar,0.4,0.6,0.4
orilla,0.333,-0.5,1
inferior,-0.4,-0.4,0.6
hotel,0.833,-0.333,1
salón,0.333,-0.333,1
sala,0.2,-0.4,1
máquina,0,0.8,0.8
biblioteca,0.8,-0.4,1
materia,0,-0.2,0
infierno,-0.8,0.2,0
fijar,0.4,1,0.6
repente,0,0.2,-0.8
extensión,0.4,-0.4,0.4
regreso,0.6,0.8,0.6
solitario,-0.2,-1,0.8
representación,0.4,0.4,-0.2
comisión,-0.2,0.6,0.6
publicación,0.6,0.6,0.6
aliento,0,0.6,0.6
asumir,0.2,0.8,0.4
exterior,0,-0.4,0.4
techo,0.4,-0.2,1
tecnología,0.2,0,1
directamente,0.4,0.6,0.8
conversación,1,1,1
físico,0.4,-0.2,0.6
voluntad,0.667,0.667,0.333
absoluto,0.167,0.5,0.167
actriz,0.333,0.5,1
horizonte,1,-0.667,0.833
sur,0.833,-0.167,0.833
polvo,0,0.167,1
tormenta,0,0.833,1
susurrar,0.667,0.5,1
caracterizar,0,0.833,0.333
periódico,0.2,0,0.8
típico,0.2,0,0.2
juventud,0.6,0.2,0.8
botánico,0.6,-0.2,0.6
princesa,0,-0.2,0.8
política,-0.2,0.4,0.4
brillante,0.4,0,0.8
rama,0.2,-0.4,0.8
presión,-0.4,0.4,0.4
transporte,-0.2,0.8,0.8
prestar,0.4,0.2,0.6
llegada,0.6,0.6,0.6
añadir,0,0.6,0.8
labor,0.2,1,0.8
respecto,0,0,-0.4
religión,-0.4,0,0.8
precio,-0.2,0.2,0.8
distinguir,0,0.6,0.6
rechazar,-0.6,0.4,0.8
brisa,1,0.4,0.8
verso,-0.4,0.4,0.4
aroma,0.8,0.6,0.8
oponer,0,0.6,0.8
montar,0.8,0.8,0.8
columna,0.2,0.2,0.8
mierda,-0.4,0.2,0.8
falso,-0.6,0.2,0.6
solución,0.4,0.6,0.6
escaso,-0.4,0,0.4
arrancar,0,0.6,0.8
amante,0.6,0.6,0.8
susurro,0.8,0.4,0.8
código,0.4,0.4,0.8
búsqueda,0.2,1,0.8
constitución,0.4,0.2,0.4
patio,0.4,0,0.8
voto,0.4,0.8,1
regional,0.2,0,0.8
pérdida,-0.8,-0.4,0.4
imponer,-0.6,1,0.2
mágico,0.6,0.2,-0.2
documento,0,-0.2,0.8
fantasma,-0.2,0,0.6
gira,0.2,0.6,0.4
capilla,-0.2,-0.2,0.8
leyenda,0.6,0,0.2
interior,0.4,0,0.4
mejilla,0.6,-0.2,0.8
pedazo,0,0,0
sección,0,0.2,-0.4
pájaro,1,0.6,0.8
demonio,-0.6,0.4,0.4
obispo,-0.2,0.2,0.6
suspiro,1,0,0.6
humo,-0.2,0,0.6
papa,0.2,-0.2,0.8
roca,0.2,-0.6,0.6
víctima,-0.6,-0.6,-0.4
colgar,0,0.6,0.2
individuo,0,-0.2,-0.4
titular,0,0.2,-0.2
ajeno,0,0,-0.4
crecimiento,1,1,0
variedad,0.8,0,0.4
príncipe,0.6,0.2,0.8
alumno,0.6,0.2,0.8
frecuencia,0,0.4,-0.4
terrible,-0.4,0.4,0.6
merecer,0.4,0.2,0.2
caída,-0.4,0.6,0.8
dólar,0,-0.6,1
deporte,0.8,1,0.8
provenir,0,-0.4,-0.4
llave,0.167,-0.5,1
compositor,0.833,0.5,0.333
latir,0.833,1,0.667
aplicación,0.167,0.333,0.167
presente,0.333,0,0.167
exposición,0.333,0.667,0.833
interno,0.167,-0.167,-0.333
sexual,0.857,1,1
máximo,0.333,0.333,0.5
actitud,0.5,0.833,0.833
carcajada,1,1,1
catedral,0.8,-0.2,1
encerrar,-0.6,0.6,1
arrastrar,-0.8,1,1
católico,0,0,0.6
devolver,0.4,0.8,0.8
relato,0.6,0.4,1
composición,0.4,0.4,0.4
nacimiento,0.8,0.4,1
asentamiento,-0.4,0.2,0.8
símbolo,0.6,0,0.8
contenido,0.4,0.2,0
vestido,0.8,-0.2,1
crisis,0,0.4,0.4
magia,1,0.8,0.6
video,0.2,0.2,0.6
científico,0.8,0.4,0.8
papá,1,1,1
barco,0.8,0.6,1
comandante,0,0.8,0.6
banda,0.6,0.2,0.2
continuo,-0.2,-0.6,0.2
comercio,0,0.2,0.6
seriar,-0.2,0.6,-0.2
resolver,0.4,1,0.2
cola,0.4,-0.4,0.8
duque,0,-0.6,0.4
inspirar,1,0.4,0.2
diputado,-0.6,0.2,1
familiar,0.6,0.4,0.8
dominio,0.2,0.4,0.2
derecho,0.2,0,-0.2
filosofía,0.6,0,0
reinar,0,1,0.8
caber,0.2,0.6,0.6
eliminar,0,1,1
and,0,-0.2,0
regalar,1,1,0.8
esencia,1,-0.8,1
toma,0.2,0.8,0.2
derivar,0.4,1,0.4
pegar,-0.4,1,0.8
vaso,0.2,-0.2,1
normal,-0.2,-0.4,0
ligero,0.8,0,0.4
régimen,-0.6,0,0.2
gobernador,-0.4,0.4,1
amanecer,1,-0.4,1
cantante,0.8,0.8,1
activo,0.4,0.8,0
divino,0.6,-0.6,0.4
sobrevivir,0,0.8,0.6
reconocimiento,0.8,0.8,0.4
infinito,0.8,-0.4,-0.6
monumento,0.4,-0.8,0.8
madera,0.6,-0.4,1
arquitectura,0.4,-0.4,0.4
graduar,0,0.8,0.4
asistir,0.4,1,0.8
ola,0.6,0.6,1
candidato,0,0.2,0.4
círculo,0.4,-0.2,1
pobreza,-0.8,-0.2,0.8
volumen,0.2,0,-0.2
prometer,0,0.6,0
cerebro,0.2,0.6,0.6
interior,0.2,-0.2,0.4
espada,0.4,1,1
opinión,0.4,0.8,0
nota,0.6,0,0.4
odio,-1,1,0.6
sierra,0,0,1
botella,0,-0.4,1
partida,0,0.2,0.2
prohibir,-0.8,0.2,0.4
citar,0,0.2,0.2
acá,0.2,-0.2,-0.2
proporcionar,0.4,0.6,0.4
núcleo,0.4,-0.2,0.2
práctico,0,0.4,0
izquierda,0.4,0.4,0.8
identificar,0,0,0.2
general,0.2,-0.2,0.4
disparar,-0.4,1,1
nariz,0,0.2,0.8
constitucional,0.6,0.6,-0.2
transmitir,0.2,1,0.2
infancia,1,0.4,1
océano,1,0.8,1
editar,0.2,0.6,0.4
encima,0.4,0.4,0.6
instalación,0,0.4,0.2
periodista,0,0.6,1
perseguir,-0.4,1,0.4
enterar,0.2,0.4,-0.4
peligro,-1,0.8,0.4
vivienda,0.8,0,1
macho,0,1,1
grabación,0.2,0.4,0.8
garganta,0.2,0,0.8
zapato,0.4,0,1
aventura,0.8,1,0.4
grave,-0.4,0,-0.2
reacción,0.2,0.8,0
aferrar,0.4,0.6,0.4
dibujo,0.8,-0.2,1
americano,0.2,-0.2,0.4
inmediatamente,-0.2,0.6,0
amistad,1,0.5,0.667
desierto,0.333,0,0.667
revelar,0.333,0.667,0.333
marco,0.167,-0.5,1
hundir,-0.667,0.5,1
ferrocarril,0.667,0.667,1
secundario,0.167,0.167,0.333
tumba,-0.5,-0.667,1
temblar,-0.5,0.5,0.833
salar,0,0.333,0.667
exponer,0.4,0.6,0.4
sabio,1,0.8,0.6
atrever,0.4,0.6,0.2
acostumbrar,-0.2,-0.2,0
estrenar,0.4,1,0.4
pintor,0.6,0.2,1
habia,0.4,-0.6,-0.4
capítulo,0.2,0.2,0.4
circunstancia,-0.2,0.2,-0.4
bolsillo,0.2,-0.8,1
operar,0,0.6,0.6
reflejo,0.4,-0.4,1
sucio,-0.8,-0.4,1
militar,-0.6,0,1
asiento,0,-0.8,1
músico,0.8,0.2,1
comunicar,0.6,0.6,0.8
ligar,0,0.667,0
atraer,0.8,0.6,0.2
molestar,-1,0.8,0.6
registrar,0,0.6,0.2
herido,-0.8,-0.8,1
ancho,0,0,1
ministerio,-0.2,-0.4,0.2
comentario,0.4,0.6,0.6
habitual,-0.2,0,0
consumir,-0.2,0.6,0.6
propósito,0.8,0.2,-0.6
básico,0,-0.2,-0.2
bar,0.4,-0.6,1
inventar,1,1,0.8
torno,-0.2,0.4,0.8
ayuntamiento,-0.167,0.167,0.167
mínimo,0,0,0
agregar,0,1,0.5
tratamiento,-0.333,0.667,0.667
facultad,0.333,0,0.667
cristo,0.333,0.167,1
nervioso,-1,0.6,1
inaugurar,0.5,1,1
condenar,-0.667,1,0.5
profundidad,0.333,-0.333,0.5
profesional,0.333,0.333,0.333
bonito,1,-0.5,0.833
buque,0,-0.167,1
confirmar,0,0.833,0.167
latino,0.4,-0.2,1
personalidad,0.2,0.2,-0.4
huella,0,-0.2,1
protección,0.4,1,0.8
moneda,0,-0.6,1
apreciar,0.8,1,0.2
juicio,-0.2,0.8,0.8
bolsa,0,-0.4,1
expedición,0.8,1,1
estremecer,-0.2,1,0.4
trabajador,0.2,0.8,0.8
tropical,1,0,1
coger,0.4,0.8,1
ciento,0,-0.2,-0.4
pantalla,0,-0.4,0.6
entorno,0.2,-0.6,-0.2
interpretación,0.2,0.8,0
verme,0.2,0.6,0.4
patrón,-0.2,0,0.8
misterio,0,0.6,0.4
clasificar,0.2,0.8,0.6
riesgo,-0.8,0.6,0.8
angustia,-0.8,0,0.8
infantil,0.4,0.6,0.8
saludar,0.6,1,0.6
tienda,0.2,0.4,0.6
célula,0,0.6,0.6
gemir,0,0.2,0.6
accidente,-0.8,-0.2,1
parroquia,0.4,-0.2,0.6
desempeñar,0.6,0.6,0.2
testigo,0,-0.2,0.8
tomo,0,-0.4,0.2
coronel,0.2,0.6,0.8
capital,-0.2,0,-0.2
tierno,1,0.4,1
adoptar,0.8,1,1
pasillo,0,-0.2,0.8
dominar,0.2,1,1
habilidad,0.8,0.8,0.8
protagonista,0.8,0.8,1
espectáculo,0.4,0.2,1
pista,0.4,-0.2,0.4
melodía,1,0.4,1
percibir,1,0.2,0.6
promesa,0.8,0.6,0
ternura,1,-0.4,0.8
soltar,0.2,0.6,1
superior,0,0.2,0.6
factor,0,0,-0.4
conquistar,0,1,0.8
conceder,0.2,-0.2,0.2
discográfico,0,-0.2,-0.2
charlar,0.6,1,1
hielo,-0.4,-0.4,1
maravilloso,0.8,0.2,0.8
estatal,-0.2,-0.2,-0.4
regla,0.2,-0.2,1
lanzamiento,0.2,0.8,0.6
corazon,0.6,0.4,1
explicación,-0.2,0.6,0.4
maestro,0.4,0.6,0.6
técnica,0.4,-0.2,0
cliente,0.2,0.4,0.8
químico,0,0,0.6
amenazar,-0.8,0.8,0.8
argumento,0,0,0.4
fantasía,1,0.4,0.8
presidir,0.2,1,0.2
costa,0.8,-0.6,1
complejo,0,0.2,0.6
fino,0.2,-0.6,0
oculto,0,-0.2,-0.2
bastar,-0.2,0,-0.4
forzar,-0.6,0.4,0.6
diócesis,-0.2,0,0
show,0.4,0.6,0.8
futbolista,0.4,0.8,1
opción,0.4,0.2,0.4
fresco,0.8,-0.2,0.8
cálido,1,-0.2,1
autónomo,0.2,0.4,0.4
sello,0,-0.6,0.8
diferenciar,0,0.8,0
trayectoria,0.2,0.4,0.8
enterrar,-0.6,0.4,1
anciano,0.6,-0.4,1
ejecutar,-0.4,0.8,0.6
reforma,0.2,1,0.6
fama,0.4,0.2,0.8
monasterio,0.2,-0.4,0.6
maldito,-1,0,0.8
encantar,0.8,0.8,0.6
carretero,0,-0.2,0
confianza,1,0.2,0.8
brillo,0.8,0.4,1
representante,0.2,0.2,0.6
ascender,0.8,1,0.8
concluir,-0.2,0.6,0.4
cigarrillo,0,-0.2,1
latino,0.4,-0.2,1
presentación,0.4,0.8,0.8
transportar,0,1,1
centrar,0.4,0.8,0.6
capturar,0.2,1,1
medalla,1,0.6,1
análisis,0.8,1,0.4
acceder,1,1,0.6
carro,0.2,0.4,1
dimensión,0.4,-0.2,0.4
arquitecto,0.2,0.6,1
cruel,-1,1,0.8
leche,0.2,0,1
colaborar,0.8,1,1
salida,0.4,-0.4,0.6
internet,0.4,0.4,1
cueva,0,-0.4,1
sustituir,-0.2,1,0.4
pronunciar,0,0.6,0.6
provincial,0.2,0,0.4
copar,0.2,0.8,0.2
olímpico,1,0.4,1
trato,0,0.8,0
ceder,0,0.6,0.6
registro,0,0,0.6
sacerdote,0.2,0.6,0.6
gonzález,0,0,0
jamar,0,0.2,-0.4
héroe,0.8,0.6,1
originalmente,0.2,-0.2,0.2
carretera,0.4,-0.4,1
elaborar,0.6,1,0.6
fabricar,0.8,1,1
reemplazar,0.2,1,0.8
acudir,0.4,0.8,0.8
dama,0.8,0,0.8
copia,-0.2,-0.2,0.4
eco,0.2,0,0.6
cerveza,0.4,-0.2,0.8
asamblea,0.2,0.8,0.8
alegre,1,0.4,0.8
poderoso,0.4,0.8,0.8
normalmente,0.2,0,-0.4
espera,0,-0.4,0.2
banco,0.4,-0.6,0.6
vacío,-0.4,-0.2,0.6
lindo,0.8,0.2,0.8
alianza,0.6,0.4,0.8
violencia,-1,1,0.8
cementerio,-0.8,-0.8,0.6
equivocar,-0.4,1,0.6
cañón,-0.4,0.8,0.8
entidad,0,0.4,-0.2
pequeño,0.8,-0.4,0.8
apretar,-0.2,0.8,0.4
fenómeno,1,0.8,0.8
bañar,0.6,0.8,1
descanso,1,-0.6,1
pantalón,0.2,0.4,1
concentrar,1,1,0.2
interesante,1,0.8,0.2
logro,1,0.8,0.4
rural,0.6,0.2,0.8
disponible,0.6,0.2,0.6
muestra,0,-0.2,0.6
descender,0.4,0.8,0.6
desesperar,-0.6,0.2,0.6
clavar,0,0.8,1
arrojar,0.2,0.8,0.8
acontecimiento,0.6,0.2,0.2
conectar,0.6,1,0.6
informar,0.6,1,0.8
cultivo,0.5,0.333,0.833
conocido,0,0,0.4
fila,-0.2,-0.8,0.6
agradecer,0.8,1,1
secar,0,0.2,0.8
apuntar,0,0.6,0.4
agente,-0.2,0.4,0
practicar,0.4,1,0.6
proyectar,0.8,0.4,0.8
hierro,-0.4,-0.8,1
criatura,0.6,0,0.6
cadáver,-0.6,-1,1
competencia,-0.4,0.8,0.4
mancha,-0.6,-0.6,1
alba,0.6,-0.8,0.2
someter,-1,1,0.4
transcurrir,0.2,-0.6,0
atender,0.4,1,0.8
asesinato,-1,0.6,0.8
fábrica,0,0.2,0.8
otoño,0.6,-0.6,1
rodar,0.2,0.8,1
organismo,0,0.6,0
ingeniero,0.2,0.8,0.8
electrónico,0.2,0.2,0.6
imaginación,1,0.2,-0.2
juez,-0.2,0.6,1
cristiano,0.6,0.2,0.6
localización,0,-0.2,0
vientre,0.6,0.2,0.8
vicepresidente,0.2,0,0.8
umbral,-0.2,-0.6,-0.4
encabezar,0.4,0.8,0.8
mapa,0,-0.8,1
anual,-0.2,-0.2,0.2
rodilla,0.2,0.2,1
dificultad,-0.4,0.4,0.4
reciente,0,0.2,-0.2
curiosidad,0.6,0.6,0
únicamente,0,-0.2,0
órgano,0,0.2,0.6
plato,0.4,0,1
prensa,0.2,0.6,0.4
interrumpir,-0.6,1,0.6
ciudadano,0.6,0.6,0.8
calma,1,-0.6,1
ópera,1,0.6,1
formato,0,-0.4,-0.2
sugerir,0.4,1,0
figurar,0,0.4,-0.8
borde,0,0,0.667
experimentar,0.667,1,0.5
débil,-0.6,-0.6,0.6
enseñanza,0.8,1,1
ignorar,-0.4,0.6,0
portar,0,0.4,0
tabla,0.2,-0.4,0.8
perdón,0.8,1,0.2
sumar,0.4,1,1
excepción,0.2,0.6,-0.4
aprobar,1,1,0.6
continuación,0.2,0.4,-0.2
sudor,-0.8,0.4,1
fiel,0.8,0.8,0.6
contrario,0.2,0.4,0.4
tribu,0.4,0.4,1
traje,0.2,-0.4,1
dulzura,1,0,0.8
nocturno,0.6,0,0.8
múltiple,0.2,0.2,0.2
confiar,1,0.6,0
cometer,-0.2,0.6,-0.8
sufrimiento,-0.8,0.2,0.4
asociar,0.2,0.6,0.6
combatir,-0.4,0.6,0.8
capa,0.2,-0.2,1
paseo,1,0.6,1
agricultura,0.4,0.4,0.8
lectura,0.8,0.8,1
rendir,0,0.2,0.6
coordenado,0,0,-0.2
cuidado,0.6,1,0.6
nieve,0.6,0.2,1
clasificación,0,0.6,0.6
preciso,0.2,0,0.6
celular,0,0,0.2
nieto,0.8,0,1
vena,-0.2,-0.4,1
piano,0.8,0.2,1
pasear,1,1,1
ámbito,0,-0.2,-0.2
debut,0.6,1,0.4
avenir,0.6,0.8,0
identidad,0,0,0
colaboración,1,1,0.4
medicina,0.4,0.4,0.8
exigir,-0.4,1,0.6
venta,-0.2,1,0.8
denominación,0,0.2,-0.2
temprano,0.4,0.4,0.4
recostar,0.4,0,0.4
infraestructura,0.4,-0.2,0.6
peligroso,-0.4,0.8,0.6
fundamental,0.6,0.2,0.2
lobo,0,0.2,1
médico,0.6,0.6,1
península,0.2,-0.6,0.8
perdonar,0.6,1,1
fijamente,0.2,1,0.2
mio,0.4,0.6,0.8
promedio,0.2,0,0.6
evolución,0.8,0.8,0
estatua,0.2,-0.8,1
coalición,-0.6,0.8,0.4
tribunal,-0.6,0.4,0.4
llover,0.4,1,1
potencia,0.6,0.4,0.2
seguramente,0.6,-0.2,0
comportamiento,0.2,0.6,0.4
invasión,-0.2,1,0.8
valle,0.8,-0.8,1
noreste,0,-0.4,0.2
cuadrar,-0.2,0.6,-0.8
asesino,-0.8,1,0.4
brotar,0.2,1,0.4
infinito,0.4,-0.6,0
camisa,0.2,-0.6,1
semilla,0.6,-0.2,0.8
respeto,1,0.2,0.4
fotografía,0.6,-0.4,1
pesar,-0.6,-0.6,0.2
distribuir,0,0.6,0.4
indio,0,-0.6,0.4
alcohol,0.2,0,0.8
taller,0.2,0,1
proceder,0,0.6,0
presa,-0.6,-0.4,0.8
onda,1,0.4,0.8
pelear,-0.6,1,0.8
prácticamente,0.4,0.2,0.2
correcto,0.8,0.2,0.6
retablo,0,-0.4,-0.2
existente,0.2,0.2,0.6
aguardar,-0.6,-0.8,0.4
mojar,0.2,1,0.8
fijo,0,-0.6,0.2
recorrido,0.2,0.4,0.6
arco,0.4,0,0.8
mental,0.6,0.4,0.2
televisivo,-0.2,0.2,0.6
tesoro,1,-0.6,0.6
ciclo,0,0.6,0.6
murmurar,-0.6,1,0.8
oler,0.4,1,0.8
responsabilidad,0.2,0.6,0.6
historiador,-0.2,0.2,0.4
abogado,0,0.8,0.6
corriente,-0.2,0.6,0.6
respiración,0.6,1,1
you,0.4,0.4,0.6
concurso,0.4,0.8,0.4
amarillo,0.4,0.2,1
científico,0.8,0.8,0.8
eternidad,0.4,-0.4,0.2
mariposa,0.6,0.4,1
anillo,0.2,-0.6,0.8
baile,1,1,1
limpio,1,0.2,1
humano,0.8,0.8,0.8
calmar,1,0.6,1
individual,0,0.4,0.2
orgullo,0.2,0.8,0.8
altitud,0,-0.2,0.2
apariencia,0.4,-0.4,0.8
definitivamente,0,0,0.4
reserva,0.2,-0.4,0.4
extenso,0,-0.4,0.2
huevo,0.2,0,0.8
adecuar,0.8,0.8,1
escultura,0.833,-0.333,1
cesar,0,0.667,0.833
trono,-0.2,-0.2,0.6
comité,-0.2,0,0.8
acusar,-0.6,0.4,0.8
gestión,-0.2,0.2,0.6
selva,1,0.6,0.6
bahía,1,-0.2,0.8
estrellar,-0.2,1,1
solicitar,0.4,0.6,0.2
nba,0,0,0.2
terror,-0.6,0.8,0.6
brindar,1,1,1
grabado,0.6,-0.2,1
tratado,0.2,0,0.4
triunfo,0.8,0.8,0.8
fundador,0,0.8,0.4
sangrar,-0.8,0.2,1
entrenador,0.2,0.6,0.8
sagrado,0.2,-0.2,-0.2
crimen,-1,0.2,0.2
national,0.2,0.2,0
promover,0.6,0.6,0.2
conquista,0.6,0.4,0.6
oreja,0.2,-0.2,1
prisión,-0.8,-0.2,0
sendero,1,0.4,1
virgen,0.4,0.2,0.2
resistir,0.2,0.6,0.4
tambien,0.8,0.6,0.2
