room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
5286120,328476,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",40,5,3,1,1,774,0,NA,2018-02-09T11:09:04Z,-34.581131,-58.428356,1,0101000020E6100000CF85915ED4364DC08CD82780624A41C0,NA,NA,1-BR Urban Oasis in Palermo Soho,Apartment,ARS,nightly
19919572,786434,Entire home/apt,NA,NA,NA,"Buenos Aires, Argentina",0,NA,4,1,1.5,917,0,NA,2018-02-09T11:09:04Z,-34.58012,-58.430213,1,0101000020E610000033A8363811374DC0B5E0455F414A41C0,NA,NA,Mi casa es tu casa,Apartment,ARS,nightly
2336917,1963884,Entire home/apt,NA,NA,NA,"Vicente López, Buenos Aires Province, Argentina",37,4.5,2,0,1,1019,0,NA,2018-02-09T14:33:24Z,-34.53467,-58.467904,1,0101000020E610000073D53C47E43B4DC07F130A11704441C0,NA,NA,Cute and cozy loft with parking,Apartment,ARS,nightly
15894683,103090980,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",5,5,2,1,1,754,0,NA,2018-02-09T11:09:04Z,-34.581011,-58.428075,1,0101000020E61000001B9E5E29CB364DC0E1CE85915E4A41C0,NA,NA,Palermo Exclusive Apartment,Apartment,ARS,nightly
15675897,84808857,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",4,5,3,1,1,1019,0,NA,2018-02-09T11:09:04Z,-34.582328,-58.428603,1,0101000020E6100000D7FB8D76DC364DC0C5C551B9894A41C0,NA,NA,Lovely place and excelent option in Palermo!,Apartment,ARS,nightly
1434075,7703285,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",1,NA,3,1,1,1019,0,NA,2018-02-09T11:09:04Z,-34.582235,-58.428137,1,0101000020E6100000919A7631CD364DC014CB2DAD864A41C0,NA,NA,Brigth Apart in Palermo with pool,Apartment,ARS,nightly
1650776,8113622,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",0,NA,1,1,1,815,0,NA,2018-02-09T11:09:04Z,-34.582182,-58.427665,1,0101000020E610000069520ABABD364DC0F22895F0844A41C0,NA,NA,Monoambiente luminoso en Palermo,Apartment,ARS,nightly
2365264,12081684,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",0,NA,2,0,1,1019,0,NA,2018-02-09T11:09:04Z,-34.580059,-58.428762999999996,1,0101000020E61000000F5EBBB4E1364DC00F60915F3F4A41C0,NA,NA,NICE STUDIO APARTMENT PALERMO,Apartment,ARS,nightly
250122,1310796,Entire home/apt,NA,NA,NA,"Buenos Aires, Autonomous City of Buenos Aires, Argentina",24,4.5,4,2,1,836,0,NA,2018-02-09T11:17:23Z,-34.587745,-58.414047,1,0101000020E6100000E200FA7DFF344DC09AB1683A3B4B41C0,NA,NA,Cozy 2 bed apartment - Alto Palermo,Apartment,ARS,nightly
9887993,50729839,Entire home/apt,NA,NA,NA,"Buenos Aires, CABA, Argentina",75,5,2,0,1,1039,0,NA,2018-02-09T11:17:34Z,-34.583691,-58.419583,1,0101000020E6100000927A4FE5B4354DC01AFCFD62B64A41C0,NA,NA,COZY STUDIO - Apartamento con excelente ubicación!,Apartment,ARS,nightly
18037897,4843078,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",3,4.5,2,0,1,1121,0,NA,2018-02-09T20:50:09Z,-34.579121,-58.412793,1,0101000020E61000004582A966D6344DC0A2B60DA3204A41C0,NA,NA,OFFER! BRIGHT STUDIO  2p mini gym+laundry BOTANICO,Apartment,ARS,nightly
19931700,16594998,Entire home/apt,NA,NA,NA,"Núñez, Buenos Aires, Argentina",0,NA,4,1,1,1019,0,NA,2018-02-09T14:33:24Z,-34.5376,-58.466224,1,0101000020E61000001E4E603AAD3B4DC0302AA913D04441C0,NA,NA,Moderno Dpto sobre Av Libertador-Vista panoramica,Apartment,ARS,nightly
14177352,2497398,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",21,4.5,3,0,1,897,0,NA,2018-02-09T11:17:34Z,-34.583845,-58.417142,1,0101000020E6100000DEE4B7E864354DC07077D66EBB4A41C0,NA,NA,Modern 3 guest studio in Palermo Botanico,Apartment,ARS,nightly
