X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-58399368569690960,-3458711720679419,GUTIERREZ,JUAN MARIA GUTIERREZ ENTRE AGUERO Y LAPRIDA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,90,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,GUTIERREZ JUAN MARIA Y AGUERO
-58405790412466240,-34601779712818624,PUEYRREDON,BOULOGNE SUR MER Y TUCUMAN,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,144,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,BOULOGNE SUR MER Y TUCUMAN
-58425204657649776,-34585669444318208,GUATEMALA,GUATEMALA 4799 ENTRE J.L. BORGES Y GURRUCHAGA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,113,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,4799 GUATEMALA
-58434954874725680,-34600164664861132,VELASCO,VELASCO 285 ENTRE JULIAN ALVAREZ Y LAVALLEJA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,129,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,285 VELASCO RAMIREZ DE JUAN
-58428781060593570,-3461506434661996,HIPOLITO YRIGOYEN,HIPOLITO YRIGOYEN ENTRE MUÑIZ Y LA PLATA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,167,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,YRIGOYEN HIPOLITO AV Y LA PLATA AV
-58421044153603816,-34585424221549480,ARMENIA,ARMENIA 2393 Y CHARCAS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,123,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,2393 ARMENIA
-58412313560298370,-34581081606687128,UGARTECHE,UGARTECHE ENTRE CABELLO Y LAS HERAS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,124,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,UGARTECHE Y CABELLO
-58413150468691510,-34633308984809204,VIRREY LINIERS,SALCEDO 3401 Y VIRREY LINIERS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,139,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,3401 SALCEDO
-58415775044145760,-34635148035031024,LAS CASAS,LAS CASAS 3587 ENTRE AV. BOEDO Y ALZAGA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,140,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,3587 LAS CASAS
-58360933146169880,-34634072090731728,PINZON,PINZON 469 Y MARTIN RODRIGUEZ,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,176,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,469 PINZON
-58405312698930736,-345824723755753,CABELLO,CABELLO ENTRE CNEL DIAZ Y ORTIZ DE OCAMPO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,mar-17,89,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,CABELLO Y DIAZ CNEL AV
-58369430546477376,-3463997121461631,MINISTERIO DE JUSTICIA Y SEGURIDAD,REGIMIENTO DE PATRICIOS Y ARAOZ DE LAMADRID,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,126,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,REGIMIENTO DE PATRICIOS AV Y ARAOZ DE LAMADRID GREGORIO
-58455062194509570,-3458754836364119,FEDERICO LACROZE,AV CORRIENTES 6800 Y FEDERICO LACROZE,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,104,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,6900 CORRIENTES AV
-58371705908622800,-3463081220936121,RUY DIAZ DE GUZMAN,RUY DIAZ DE GUZMAN Y AV. MARTIN GARCIA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,73,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,RUY DIAZ DE GUZMAN Y GARCIA MARTIN AV
-58380912274696170,-34608231785987972,RIVADAVIA Y 9 DE JULIO,RIVADAVIA Y CARLOS PELLEGRINI,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,191,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,RIVADAVIA AV Y PELLEGRINI CARLOS
-58374752508872880,-34622059941973132,PLAZA CECILIA GRIERSON,AV SAN JUAN 632,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,173,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,632 SAN JUAN AV
-584378366120078,-34580469465389196,RAVIGNANI,RAVIGNANI 1883 Y COSTA RICA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,145,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1883 RAVIGNANI EMILIO DR
-58411913670783650,-34592696613881620,BILLINGHURST Y MANSILLA,BILLINGHURST 1533 Y MANSILLA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,181,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,1853 BILLINGHURST
-58445098655359650,-34592839213799104,VILLARROEL,VILLARROEL Y HUMBOLDT,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,158,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,VILLARROEL Y HUMBOLDT
