ORIGEN_ESTACION,DESTINO_ESTACION,hora,lon,lat
121,106,1,-58.41804,-34.60346
121,106,1,-58.41376,-34.6041
121,106,1,-58.4103,-34.60403
121,106,1,-58.40545,-34.60458
121,106,1,-58.40613,-34.60758
121,106,1,-58.40592,-34.61093
121,106,1,-58.40492,-34.61462
121,106,1,-58.39323,-34.6139
121,106,1,-58.39319,-34.61497
121,106,1,-58.3959,-34.61521
8,77,1,-58.38909,-34.60992
8,77,1,-58.38889,-34.61247
8,77,1,-58.39176,-34.61261
8,77,1,-58.39471,-34.61285
8,77,1,-58.39478,-34.61127
84,38,1,-58.39551,-34.602290000000004
84,38,1,-58.39565,-34.60097
84,38,1,-58.39277,-34.60082
84,38,1,-58.39332,-34.59585
84,38,1,-58.38574,-34.5957
84,38,1,-58.38274,-34.59546
84,38,1,-58.38268,-34.59681
84,38,1,-58.38284,-34.59682
84,38,1,-58.38283,-34.59697
122,113,1,-58.42041,-34.59157
122,113,1,-58.41786,-34.59154
122,113,1,-58.41662,-34.58983
122,113,1,-58.41648,-34.58974
122,113,1,-58.41694,-34.58959
122,113,1,-58.41811,-34.58962
122,113,1,-58.42164,-34.58855
122,113,1,-58.42524,-34.5857
33,93,1,-58.39871,-34.59709
33,93,1,-58.40288,-34.59583
33,93,1,-58.4061,-34.6072
33,93,1,-58.40592,-34.61093
33,93,1,-58.40317,-34.61985
33,93,1,-58.39321,-34.61952
33,93,1,-58.39319,-34.62047
33,93,1,-58.39477,-34.62056
59,56,1,-58.41144,-34.59016
59,56,1,-58.41117,-34.59034
59,56,1,-58.41439,-34.59405
59,56,1,-58.41642,-34.59411
59,56,1,-58.42286,-34.59412
59,56,1,-58.42266,-34.59276
59,56,1,-58.42488,-34.59086
59,56,1,-58.4272,-34.58935
59,56,1,-58.4262,-34.5887
59,56,1,-58.42515,-34.58944
113,100,1,-58.42524,-34.5857
113,100,1,-58.42537,-34.58559
113,100,1,-58.42422,-34.58466
113,100,1,-58.42324,-34.58542
113,100,1,-58.42517,-34.58673
113,100,1,-58.43594,-34.59365
113,100,1,-58.43682,-34.59274
124,66,1,-58.41223,-34.58112
124,66,1,-58.41263,-34.58187
124,66,1,-58.4109,-34.58201
124,66,1,-58.4068,-34.5833
124,66,1,-58.40636,-34.58382
124,66,1,-58.41008,-34.589
124,66,1,-58.41439,-34.59405
124,66,1,-58.41372,-34.59458
124,66,1,-58.41386,-34.59459
68,91,2,-58.38546,-34.60665
68,91,2,-58.38548,-34.60642
68,91,2,-58.38639,-34.60647
68,91,2,-58.38588,-34.61784
68,91,2,-58.39752,-34.61844
68,91,2,-58.39761,-34.6175
85,33,2,-58.40907,-34.59458
85,33,2,-58.4096,-34.59568
85,33,2,-58.4065,-34.59699
85,33,2,-58.40345,-34.59755
85,33,2,-58.40235,-34.59447
85,33,2,-58.39851,-34.59541
85,33,2,-58.39736,-34.59555
85,33,2,-58.39754,-34.59723
85,33,2,-58.39871,-34.59709
20,54,2,-58.44166,-34.57992
20,54,2,-58.44152,-34.58004
20,54,2,-58.44347,-34.58184
20,54,2,-58.44439,-34.5832
20,54,2,-58.42915,-34.5937
20,54,2,-58.42805,-34.59297
20,54,2,-58.42535,-34.59485
20,54,2,-58.42413,-34.59622
20,54,2,-58.41997,-34.59651
20,54,2,-58.42036,-34.59891
20,54,2,-58.42174,-34.59826
33,84,2,-58.39871,-34.59709
33,84,2,-58.39888,-34.59707
33,84,2,-58.39851,-34.59541
