nombre,tipo,categoria,lat,lng
Cajero Automático Galicia,atm,banca,-32.9283309,-68.8124684
Banelco Macro,atm,banca,-32.92862339999999,-68.81361439999999
Banelco,atm,banca,-32.9142079,-68.821966
Banelco Supervielle,atm,banca,-32.9214973,-68.7906036
ATM,atm,banca,-32.9095034,-68.79681889999999
Banelco Banco Galicia,atm,banca,-32.9036015,-68.788375
Villa Nueva Centro Guaymallen,atm,banca,-32.9033639,-68.7890094
Banelco Macro,atm,banca,-32.9089241,-68.7986908
Cajero Automático Banelco,atm,banca,-32.900476,-68.788112
Banelco Macro,atm,banca,-32.9228096,-68.8478317
Supervielle,atm,banca,-32.9097978,-68.86021629999999
Banelco Supervielle,atm,banca,-32.90540309999999,-68.8433151
Banelco Supervielle,atm,banca,-32.9121895,-68.82706449999999
Cajeros Banelco,atm,banca,-32.90175010000001,-68.8592527
Link,atm,banca,-32.900084,-68.8420715
Banco de la Nación Argentina,atm,banca,-32.8982147,-68.84718099999999
ATM Network Link,atm,banca,-32.8999614,-68.8292331
Frig Maria Del Carmen,atm,banca,-32.8691718,-68.6700228
Cajero Automatico Banco Credicoop,atm,banca,-32.873976,-68.882509
Banco Macro,atm,banca,-32.856544,-68.887316
Banco Macro. Cajero Red Banelco,atm,banca,-32.845455,-68.77413039999999
Cajero Automatico Banelco Banco Macro,atm,banca,-32.8553655,-68.8085023
Banelco Supervielle,atm,banca,-32.8613777,-68.809967
Rapi Pago,atm,banca,-32.8720358,-68.8208471
Banelco Macro,atm,banca,-32.8631389,-68.8324946
Banelco Cajero Automatico,atm,banca,-32.8898295,-68.81349159999999
HSBC,atm,banca,-32.873964,-68.882485
HSBC,atm,banca,-32.8279648,-68.7983303
ATM Network Link FINANDINO,atm,banca,-32.852768,-68.807819
Link,atm,banca,-32.8687709,-68.854259
CAJERO RED LINK,atm,banca,-32.8882445,-68.8413762
Banelco,atm,banca,-32.888421,-68.8403259
Banco de la Nación Argentina,bank,banca,-32.886973,-68.839986
CAJERO RED LINK,atm,banca,-32.8884787,-68.8401631
Banelco Macro,atm,banca,-32.88714599999999,-68.83985899999999
Cajero Banelco,atm,banca,-32.8833472,-68.8599504
Cajero Banelco Macro,atm,banca,-32.8950096,-68.845742
Banelco,atm,banca,-32.8960127,-68.8435854
ATM BANCO DE LA NACION ARGENTINA,atm,banca,-32.897099,-68.8535699
Cajero link,atm,banca,-32.8967657,-68.8436348
Supervielle Regatas,atm,banca,-32.8934461,-68.8672936
BANCO DE LA NACIÓN ARGENTINA,atm,banca,-32.894445,-68.829938
Banelco Itau Buen Ayre,atm,banca,-32.8984985,-68.83270259999999
Link Bco Nacion,atm,banca,-32.8812684,-68.8755986
Banelco Standard Bank,atm,banca,-32.88918689999999,-68.8457565
Cajero Automático Banelco Banco Macro,atm,banca,-32.892986,-68.850206
Banelco Macro,atm,banca,-32.8931885,-68.84996799999999
Cajero Automatico Banelco Banco Macro,atm,banca,-32.8468473,-68.840096
Cajero Automático Link,atm,banca,-32.8494203,-68.83974189999999
Cajero Banelco,atm,banca,-32.8509838,-68.8585184
Banelco ATM,atm,banca,-32.8502541,-68.839817
guia comercial mendoza,atm,banca,-32.852899,-68.8415349
Banco Macro,bank,banca,-33.0829651,-68.4759174
Banco Credicoop,bank,banca,-33.05091979999999,-68.56485169999999
Banco Credicoop Coop. Ltdo.,bank,banca,-33.05072740000001,-68.5646472
Banco Santander Rio,bank,banca,-33.0829932,-68.4754051
Banco de la Nación Argentina,bank,banca,-33.1948829,-68.46625139999999
Banco Frances,bank,banca,-33.1949536,-68.464869
BBVA Francés,bank,banca,-33.19499789999999,-68.46496259999999
SUPERVIELLE,bank,banca,-33.052428,-68.558792
SUPERVILLE,bank,banca,-33.0826407,-68.4772886
Banelco Bbva - Bank France,bank,banca,-33.0827675,-68.47629549999999
ICBC SUCURSAL SAN MARTIN MENDOZA,bank,banca,-33.088296,-68.475359
banco HSBC,bank,banca,-33.08303649999999,-68.4752694
BANCO DE LA NACIÓN ARGENTINA SUCURSAL SAN MARTÍN,bank,banca,-33.08082290000001,-68.471724
Banco Supervielle,bank,banca,-33.08242800000001,-68.4708252
Hsbc,bank,banca,-33.08064969999999,-68.47057
Banco Nacion Argentina,bank,banca,-33.1782875,-68.61211399999999
"Cajero Automatico, Banco Nacion",bank,banca,-33.1781965,-68.6123228
Rapipago,bank,banca,-33.1912967,-68.4624678
Banco de la Nación Argentina,bank,banca,-33.19406319999999,-68.464297
Rapi Pago,bank,banca,-33.03736430000001,-68.8809048
Citibank,bank,banca,-32.9793015,-68.7965012
asd,bank,banca,-32.9761309,-68.8394184
SUPERVIELLE,bank,banca,-32.95881600000001,-68.789423
Banco Galicia,bank,banca,-33.0356123,-68.8786337
BBVA Francés,bank,banca,-33.035902,-68.879113
Banco de la Nación Argentina,bank,banca,-33.03968100000001,-68.879092
BancoSanJuan,bank,banca,-33.0367936,-68.8796563
BBVA Francés,bank,banca,-32.9839234,-68.7889213
Banco Francés,bank,banca,-33.0360568,-68.8789934
ICBC,bank,banca,-33.0364421,-68.8792562
SUPERVIELLE,bank,banca,-33.0358886,-68.8789589
Banco Macro,bank,banca,-33.035049,-68.87841870000001
Banco Patagonia (Suc. 336 L. de Cuyo),bank,banca,-33.0336579,-68.877777
Banco Macro,bank,banca,-32.983607,-68.7889589
Macro Base 24,bank,banca,-32.983489,-68.788881
Santander Río,bank,banca,-32.9829282,-68.78889649999999
Banco San Juan,bank,banca,-32.9930415,-68.6820177
Autocredito s.a,bank,banca,-32.9868409,-68.7870356
Banco de la Nación - ANSES,bank,banca,-32.9866945,-68.7909913
ICBC SUCURSAL LUJAN DE CUYO,bank,banca,-33.0359528,-68.8789274
SUPERVIELLE CENTRO BANEX,bank,banca,-32.9263059,-68.8438199
Banco Macro,bank,banca,-32.9260845,-68.8438591
Banco Credicoop Coop. Ltdo.,bank,banca,-32.9363,-68.8509
BANCO DE LA NACIÓN ARGENTINA,bank,banca,-32.9245839,-68.843977
Banco Supervielle,bank,banca,-32.9245606,-68.84461209999999
Santander Río,bank,banca,-32.92445099999999,-68.848524
Banco Credicoop Coop. Ltdo.,bank,banca,-32.8907,-68.7982
SUPERVIELLE,bank,banca,-32.889832,-68.81358
SUPERVIELLE,bank,banca,-32.922914,-68.864795
Supervielle,bank,banca,-32.8979083,-68.8431183
Santander Río,bank,banca,-32.8960019,-68.8436689
BBVA Francés,bank,banca,-32.89237240000001,-68.8400123
Instituto De Ayuda Financiera,bank,banca,-32.8956787,-68.84629160000001
Banco Macro,bank,banca,-32.8950223,-68.8456936
Santander Río,bank,banca,-32.9007168,-68.7882709
Banco Credicoop Coop Ltdo,bank,banca,-32.90003290000001,-68.8292381
Banco Industrial,bank,banca,-32.8903018,-68.8394016
Provencred,bank,banca,-32.9254666,-68.84661679999999
Banco Credicoop Coop. Ltdo.,bank,banca,-32.94982570000001,-68.7872477
Santander Río,bank,banca,-32.928227,-68.811144
Banco Galicia,bank,banca,-32.9283331,-68.81230359999999
Banco Macro,bank,banca,-32.92875069999999,-68.81365269999999
HSBC,bank,banca,-32.92651000000001,-68.830891
Banco Supervielle,bank,banca,-32.9389764,-68.84101799999999
Anses,bank,banca,-32.90283400000001,-68.788793
ICBC,bank,banca,-32.9143598,-68.8230801
Banco Hipotecario,bank,banca,-32.890301,-68.841877
Banco Macro,bank,banca,-32.8887719,-68.840462
Banco Macro,bank,banca,-32.8630929,-68.832436
Santander Río,bank,banca,-32.8928365,-68.8401071
Banco Galicia,bank,banca,-32.8870465,-68.8412276
Santander Río,bank,banca,-32.924454,-68.84826939999999
SUPERVIELLE CENTRO BANEX,bank,banca,-32.8853449,-68.84423570000001
BBVA Francés,bank,banca,-32.8874649,-68.8414334
Banco Patagonia,bank,banca,-32.8884479,-68.8392712
Banco Comafi,bank,banca,-32.88994039999999,-68.8417821
BANCO COLUMBIA,bank,banca,-32.888821,-68.8387939
Banco Patagonia (Suc. 291 G. Cruz),bank,banca,-32.9244354,-68.8443468
BBVA Francés,bank,banca,-32.902436,-68.789123
Credicoop,bank,banca,-32.88888319999999,-68.84043869999999
Banco Galicia,bank,banca,-32.9861795,-68.88264939999999
Banco Supervielle,bank,banca,-32.9584084,-68.7898636
Deuda Externa Argentina,bank,banca,-32.9608862,-68.8603869
Banco Santander Rio,bank,banca,-32.9544428,-68.85681319999999
CAU I,bank,banca,-32.9256469,-68.8433562
Banco Galicia,bank,banca,-32.9246789,-68.843595
Banco Galicia,bank,banca,-32.9246479,-68.8435738
Banco Santander Rio Sa,bank,banca,-32.9396986,-68.8261852
Pago Fácil Jul-Tom,bank,banca,-32.960634,-68.8504459
Banco Credicoop,bank,banca,-32.92279809999999,-68.73893749999999
Banco Supervielle,bank,banca,-32.9225564,-68.7391422
